[INFO] [launch]: All log files can be found below /home/ruthhhs/.ros/log/2025-12-07-19-30-02-543678-ruthhhs-HP-Laptop-15-dy2xxx-3328
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [soccer_vision_node-1]: process started with pid [3341]
[soccer_vision_node-1] [INFO] [1765112223.264499733] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112238.263040415] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112253.268581127] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112268.262967303] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112283.263037829] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112298.262920810] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112313.262907864] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112328.262930997] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112343.262921032] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112358.262911443] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112373.262910747] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112388.263411607] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112403.263623393] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112418.263662833] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765112433.263515479] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114153.125925064] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114158.263589613] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114173.263498575] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114188.263410375] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114203.263729773] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114218.267294447] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114233.263436118] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114248.266785909] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114263.263501171] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114278.263531075] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114293.263664787] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
[soccer_vision_node-1] [INFO] [1765114308.263426437] [soccer_vision]: Soccer vision alive | dummy=True | balls=18233 | field_lines=20 | goal_posts=18232
